share;Наименование цб;ISIN;Номинал;Валюта номинала;Объем выпуска;Дата погашения;Утренняя сессия;Вечерняя сессия;Сессия выходного дня;Уровень листинга;Размер лота;Для квал. инвесторов
TORSP;РСТомск ап;RU000A0ETZM8;0,4916;RUB;576 693 000;-;Да;Да;Да;3;10 000;Нет
ZVEZ;ЗВЕЗДА ао;RU0009091300;0,1;RUB;562 020 480;-;Да;Да;Да;3;1 000;Нет
RENI;Ренессанс;RU000A0ZZM04;9,88;RUB;556 952 780;-;Да;Да;Да;1;10;Нет
EELT;ЕвроЭлтех;RU000A0JWW54;1;RUB;551 813 000;-;Да;Да;Да;3;10;Нет
VSEH;ВИ.ру;RU000A108K09;0,01;RUB;500 000 000;-;Да;Да;Да;1;1;Нет
MAGE;МагадЭн ао;RU0006758919;1;RUB;463 838 268;-;Да;Да;Да;3;100;Нет
BSPB;БСП ао;RU0009100945;1;RUB;445 828 521;-;Да;Да;Да;1;10;Нет
LIFE;Фармсинтез;RU000A0JR514;5;RUB;440 394 854;-;Да;Да;Да;3;100;Нет
MTLR;Мечел ао;RU000A0DKXV5;10;RUB;416 270 745;-;Да;Да;Да;1;1;Нет
SOFL;iСофтлайн;RU000A0ZZBC2;0,0015;RUB;400 002 000;-;Да;Да;Да;2;10;Нет
ETLN;ЭталонГруп;RU000A10C1L6;0,0056;RUB;383 445 362;-;Да;Да;Да;2;1;Нет
RBCM;ГК РБК ао;RU000A0JR6A6;0,0006;RUB;365 631 010;-;Да;Да;Да;3;100;Нет
SAGOP;СамарЭн-ап;RU0009084495;0,01;RUB;364 918 444;-;Да;Да;Да;3;1 000;Нет
VGSB;ВолгЭнСб;RU000A0D8L73;0,12;RUB;319 595 965;-;Да;Да;Да;3;1 000;Нет
JNOSP;Слав-ЯНОСп;RU0009101927;1;RUB;310 884 574;-;Да;Да;Да;3;100;Нет
RNFT;РуссНфт ао;RU000A0JSE60;0,5;RUB;294 120 000;-;Да;Да;Да;1;1;Нет
MSTT;Мостотрест;RU0009177331;0,14;RUB;282 215 500;-;Да;Да;Да;3;10;Нет
X5;КЦ ИКС 5;RU000A108X38;1 164,26;RUB;271 572 872;-;Да;Да;Да;1;1;Нет
T;Т-Техно ао;RU000A107UL4;3,6394;RUB;268 274 786;-;Да;Да;Да;1;1;Нет
STSBP;СтаврЭнСбп;RU000A0ET1Z7;0,0048;RUB;262 100 364;-;Да;Да;Да;3;1 000;Нет
KAZT;Куйбазот;RU000A0B9BV2;1;RUB;234 147 999;-;Да;Да;Да;3;10;Нет
HIMCP;Химпром ап;RU0009099006;1;RUB;229 631 402;-;Да;Да;Да;3;100;Нет
VKCO;"МКПАО ""ВК""";RU000A106YF0;0,0004;RUB;227 874 940;-;Да;Да;Да;1;1;Нет
NKNCP;НКНХ ап;RU0006765096;1;RUB;218 983 750;-;Да;Да;Да;3;10;Нет
TASBP;ТамбЭнСб-п;RU000A0D8NH6;0,02;RUB;217 961 420;-;Да;Да;Да;3;10 000;Нет
PRMD;iПРОМОМЕД;RU000A108JF7;1;RUB;212 500 000;-;Да;Да;Да;2;1;Нет
ASTR;Астра ао;RU000A106T36;0,05;RUB;210 000 000;-;Да;Да;Да;1;1;Нет
RTKMP;Ростел -ап;RU0009046700;0,0025;RUB;209 565 147;-;Да;Да;Да;1;10;Нет
DATA;iАренадата;RU000A108ZR8;0,05;RUB;209 160 464;-;Да;Да;Да;2;1;Нет
RZSB;РязЭнСб;RU000A0D9AF5;0,05;RUB;206 940 220;-;Да;Да;Да;3;100;Нет
KCHEP;КамчатЭ ап;RU0006753480;0,1;RUB;183 062 052;-;Да;Да;Да;3;10 000;Нет
MVID;М.видео;RU000A0JPGA0;10;RUB;179 768 227;-;Да;Да;Да;1;1;Нет
DELI;iКаршеринг;RU000A107J11;0,0006;RUB;175 849 057;-;Да;Да;Да;2;1;Нет
KRSBP;Красэсб ап;RU000A0HMLZ8;0,02;RUB;168 993 328;-;Да;Да;Да;3;100;Нет
CNTL;Телеграф;RU0007665147;1;RUB;166 167 000;-;Да;Да;Да;3;100;Нет
WTCMP;ЦМТ ап;RU0008137088;1;RUB;162 000 000;-;Да;Да;Да;3;100;Нет
EUTR;ЕвроТранс;RU000A1002V2;0,05;RUB;159 148 665;-;Да;Да;Да;1;1;Нет
LPSB;ЛЭСК ао;RU000A0D8MR7;0,22;RUB;155 521 950;-;Да;Да;Да;3;100;Нет
TRNFP;Транснф ап;RU0009091573;0,01;RUB;155 487 500;-;Да;Да;Да;1;1;Нет
BANE;Башнефт ао;RU0007976957;1;RUB;147 846 489;-;Да;Да;Да;3;1;Нет
TATNP;Татнфт 3ап;RU0006944147;1;RUB;147 508 500;-;Да;Да;Да;1;1;Нет
MAGEP;МагадЭн ап;RU0006758893;1;RUB;145 673 254;-;Да;Да;Да;3;100;Нет
MTLRP;Мечел ап;RU000A0JPV70;10;RUB;138 756 915;-;Да;Да;Да;1;10;Нет
SPBE;СПБ Биржа;RU000A0JQ9P9;3,75;RUB;132 843 907;-;Да;Да;Да;3;1;Нет
